type,x,y,10:3c:59:76:a2:7e,12:bb:f3:82:05:5a,14:77:40:57:6d:8c,26:e9:74:dd:11:7a,32:8d:15:76:f1:7f,44:2a:8f:06:5f:5a,4a:01:ea:19:99:5a,4a:bf:6e:b9:aa:5c,4c:81:25:01:60:a8,52:d0:21:8b:42:a0,62:00:b7:d7:42:fa,62:fc:c6:87:6d:c1,88:1f:a1:3e:6e:02,98:25:4a:84:aa:d0,98:a9:42:cf:3e:68,98:ba:5f:a8:42:c0,98:ba:5f:a8:42:c2,b4:1c:30:12:00:a9,be:1e:a4:86:d7:bf,d0:27:87:61:6c:6e,d8:84:66:7f:45:98,d8:84:66:85:9c:b8,d8:84:66:85:9c:ba,d8:84:66:95:9b:a8,d8:84:66:c6:9e:00,d8:84:66:c6:9e:08,d8:84:66:c6:9e:50,d8:84:66:c6:9f:20,d8:84:66:c6:9f:28,d8:84:66:c6:be:10,d8:84:66:c6:be:18,ea:42:7c:27:d2:e6,ee:78:b0:dd:87:8f
walk,1.0102666666666666,3.0902,0.0,0.0,0.0,0.0,0.0,0.39136023431658035,0.0,0.0,0.5468819650752827,0.0,0.07582507722353148,0.0,0.11478095455989969,0.2748077567857735,0.0,0.4247742732794469,0.4327541052539115,0.0,0.0,0.27630134835125514,0.18157829202558579,0.38945501800248,0.3577277141799997,0.45606720896895575,0.5625094662492814,0.4912573951991797,0.5870325935591015,0.41894678668828006,0.44010529445418145,0.43916556766408177,0.4131037317433551,0.46114895423622904,0.2168713909023539
walk,1.0102666666666666,3.0902000000000003,0.0,0.0,0.0,0.0,0.0,0.37024374203774657,0.0,0.0,0.4951946437988357,0.0,0.06298432137774443,0.0,0.12388960132551698,0.2673499607492497,0.0,0.4324475924051409,0.4094041378302011,0.0,0.0,0.22951052025119267,0.19598776029239692,0.37888589825260555,0.3384259204563782,0.4594750256263569,0.60560558961774,0.5134359069761084,0.5905567984844468,0.40026698834971713,0.41418363115749496,0.448914279637898,0.40385515129385524,0.38305472279310204,0.18014485289562254
walk,1.011,3.310928571428572,0.0,0.0,0.0,0.0,0.0,0.35278852725204546,0.0,0.0,0.4861738992514666,0.0,0.05236995662723014,0.0,0.13141894775301524,0.22229509729507368,0.0,0.4056618412123488,0.3901026984037046,0.0,0.0,0.2414225343789238,0.20789884667093556,0.31503456136576485,0.32247076319132323,0.4141422873942,0.5861563263627815,0.48776553523133925,0.5372953199892675,0.384825981962495,0.4146020820355279,0.4657844219812242,0.4269472007562769,0.31850083925201794,0.18910838412914222
walk,1.0115500000000002,3.476475,0.0,0.0,0.0,0.0,0.0,0.3831118277854848,0.0,0.0,0.47030099058987773,0.0,0.058088770884725735,0.0,0.13765826340277923,0.22371836557774946,0.0,0.4229418611544203,0.42363327110895005,0.0,0.0,0.25129361905845515,0.21776916255597573,0.3170516040472928,0.35018815508517015,0.4165657256190556,0.5788213084689121,0.4752021116203214,0.5442043023721066,0.3720305403225609,0.40795073680229776,0.46622532992499927,0.41360105040818473,0.3183260790044863,0.19653616039644167
walk,1.0128333333333337,3.86275,0.0,0.0,0.0,0.0,0.0,0.36360027773295805,0.0,0.0,0.48784435557754857,0.0,0.06283590998397562,0.0,0.14283746628294536,0.22489980847993093,0.0,0.4057788521112915,0.4020579994162522,0.0,0.0,0.30978818235380684,0.2259624278641483,0.3187259340302586,0.3323533788652824,0.38666121248375573,0.5354970190992006,0.4303304336145666,0.5039425298675972,0.39450742265527877,0.4241502511341862,0.5060172039011779,0.43519145336171694,0.3580762477636489,0.20270189433206684
walk,1.0132,3.973114285714285,0.0,0.0,0.0,0.0,0.0,0.34738458654270604,0.0,0.0,0.5024243242787595,0.0,0.06678117017413866,0.0,0.14714180675258232,0.22588168399515732,0.0,0.39151499025563957,0.3841271870424158,0.0,0.0,0.35840194046900276,0.2327717003063409,0.3201174389533048,0.3175312236366926,0.3618081203977141,0.49949099725239277,0.39303840546862656,0.47048170958690627,0.41318754708648897,0.43761337021651386,0.539087500138128,0.45313484104875745,0.39111188356007354,0.2078261226579659
walk,1.013475,4.0558875,0.0,0.0,0.0,0.0,0.0,0.33389686977846644,0.0,0.0,0.5229063436228201,0.0,0.055622241526367106,0.0,0.15072202571643487,0.22669837806584092,0.0,0.37965074553020184,0.36921288485118925,0.0,0.0,0.39883737998311863,0.2384354451935182,0.3212748502568313,0.30520260753187983,0.3411360773229419,0.4800268011491564,0.3637528922907937,0.4426500210483143,0.42872510416579346,0.45577395371921176,0.5611336786518317,0.4574978157936815,0.3655432715664386,0.21208829930428535
walk,1.0153999999999996,4.6353,0.0,0.0,0.0,0.0,0.0,0.36719584969642666,0.0,0.0,0.5464455443282429,0.0,0.06900956168534872,0.0,0.15370165298057747,0.26590853594820624,0.0,0.3797661410993193,0.4060338722604723,0.0,0.0,0.4324896619329917,0.24314908110611672,0.3768431243207285,0.3356399563631404,0.36368548296101877,0.47567592657085056,0.3783386882997881,0.47023154832321573,0.4433052333255515,0.47088804877421053,0.5764259742135469,0.4514154960888081,0.3410835729519441,0.26572509042164727
walk,1.0154,4.6353,0.0,0.0,0.0,0.0,0.0,0.39491988236049624,0.0,0.0,0.5326689819178047,0.0,0.08015556382374392,0.0,0.15618242818154052,0.3370634847295303,0.0,0.4126665149888844,0.43669025453324156,0.0,0.0,0.41041310617973753,0.24707355555936952,0.47768326137769923,0.36098145497014156,0.43013794182350557,0.5265874787626313,0.4340551816390689,0.5488200289119076,0.45544434323424465,0.4618399078265249,0.5804325790740531,0.41591533900769273,0.3207189406114864,0.27144468296576596
walk,1.5627,4.635357142857143,0.0,0.0,0.05560354975479795,0.0,0.05560354975479785,0.37352588018036215,0.0,0.0,0.5364867061257552,0.0,0.08943806022840263,0.0,0.13012953593288817,0.3578272364281985,0.0,0.40085862749370665,0.4130334251994394,0.0,0.0,0.4421032524214413,0.2058590553404488,0.5071094587535896,0.3414259998523627,0.44576335923221616,0.5596108179383227,0.44412875377623173,0.563571907502805,0.4140691409274191,0.4404036427005724,0.5972159277133261,0.4071231180299232,0.32758917420190503,0.2762080139401972
walk,1.6283760000000005,4.635364,0.0,0.0,0.10191961330835295,0.0,0.10191961330835275,0.35570532791329246,0.0,0.0,0.5429094388400946,0.0,0.07452277520469902,0.0,0.13653975740411262,0.3366381994107675,0.0,0.4124033556095711,0.3933280068271989,0.0,0.0,0.4184376782320164,0.21599973652500234,0.4770805509469158,0.32513690129574435,0.45083758737091967,0.6008986906064961,0.44371815977521506,0.5709548718517198,0.39648740647980746,0.4487981915382584,0.6305975553960633,0.4026837944443039,0.2967820335564299,0.2301457308000173
walk,1.6539166666666656,4.635366666666666,0.0,0.0,0.14050463183478668,0.0,0.1405046318347864,0.3408593698024291,0.0,0.0,0.5816073112099724,0.0,0.06209713915509846,0.0,0.14187998917790623,0.2805084627660793,0.0,0.3892438659485475,0.37691180314691725,0.0,0.0,0.4487756739246449,0.22444774227843223,0.3975340059326407,0.3115667677100333,0.4074259464290306,0.58080590251875,0.3998394564805962,0.5215267807388849,0.38184040288453186,0.4774054655501148,0.6671253719217934,0.42939646436964113,0.27111719934232126,0.23067721917844888
walk,1.7119636363636364,4.635372727272728,0.0,0.0,0.1170804199042737,0.0,0.11708041990427348,0.3729476422955033,0.0,0.0,0.5582771243494464,0.0,0.05174462245260317,0.0,0.14632924541015935,0.23374352986435665,0.0,0.41554558480322984,0.41239402753829746,0.0,0.0,0.4240050542839709,0.23148626491953042,0.33125917439896246,0.340897454285734,0.4030124093079874,0.5771411139657355,0.39755073711817535,0.5261102439332955,0.36963713628664424,0.46727940437425514,0.6474353843970643,0.4222937419728192,0.22591792973483113,0.23112003291393343
walk,1.7451333333333334,4.63537619047619,0.0,0.0,0.09756309724228485,0.0,0.09756309724228467,0.35523058853130457,0.0,0.0,0.5471731515731231,0.0,0.065757077458567,0.0,0.12193613937338144,0.19477845016747086,0.0,0.3918672779930871,0.39280305462596227,0.0,0.0,0.4033658892397599,0.19289747161022158,0.2760382228788476,0.324702959829396,0.3675825913786461,0.5517519300281973,0.3655451130251924,0.48416841477328587,0.34506304913067853,0.4109931388669501,0.5754627463284119,0.4221420291444677,0.22000978675602623,0.2870557045185519
walk,2.0040709677419355,4.635403225806452,0.0,0.0,0.08130031305037706,0.0,0.08130031305037691,0.340467876100222,0.0,0.0,0.5045827978316091,0.0,0.07743293770371325,0.0,0.10161061490895074,0.20077775025499456,0.0,0.4049054616284493,0.3764789014569767,0.0,0.0,0.3361288642528155,0.16074340884844548,0.2845403756234305,0.3112089179978596,0.3856864302496906,0.5850702527042938,0.3824010560047165,0.5047837435047818,0.32458672237972863,0.34248472830317467,0.5067758250946237,0.3916130518744099,0.21508683416138752,0.2947697184398096
walk,2.1100000000000003,4.635414285714286,0.0,0.0,0.12330988499448489,0.0,0.12330988499448467,0.28371773391793154,0.0,0.0,0.5246542754186405,0.0,0.0871621352004828,0.0,0.08467387212615884,0.20577681449252422,0.0,0.37018138781311927,0.31372634039002084,0.0,0.0,0.3301392954256285,0.13395024582965287,0.29162500334789604,0.25933574115935965,0.36902279231228163,0.5997604023689076,0.362184107208149,0.4762059074225971,0.30752431988555745,0.3193523171975068,0.49965454582399094,0.3955269788903706,0.23479649287406645,0.3011976101203344
